Bauartnummer;Bauartname;Spielname;Datum;Zulassungsinhaber;Fehler;TR-Version;ZL-Daten
508;Spieltec Sunrise;;1992;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
509;Rototron Titan;;1992;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
511;Rototron Senator;;1992;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
512;Rototron Luxor;;1992;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
513;Rototron Empire;;1992;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
514;Rotamint Supercard;;1992;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
517;Bingo Bingo;;1992;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
518;Rototron Dynamic;;1992;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
520;Jolly Top;;1992;Playmont Flip-Inn Spielautomaten Service- und Handels GmbH, 34117 Kassel, Deutschland;;TR;
521;Rototron Admiral;;1992;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
522;Mega Turbo As;;1992;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
523;Rototron Jackpot 7;;1992;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
524;Prime Time;;1992;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
525;Big Queen Casino;;1992;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
527;Triomint Record Chance;;1992;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
528;Mega Clou;;1992;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
530;Rototron Cordial;;1992;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
531;Rototron Star Dust;;1992;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
532;Duo;;1992;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
533;Multi Speed;;1992;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
534;Rototron Gloria;;1992;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
536;Rototron Cash Box;;1992;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
537;Multi Pik;;1992;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
538;Multi Komet;;1992;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
539;Multi-Multi Deluxe;;1992;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
540;Rototron Monarch;;1993;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
541;Rototron Arcon Super;;1993;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
542;Rototron Caravel;;1993;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
544;Nova Joker;;1993;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
